Student ID,Name,Date of Birth,Entry Date,Expected Graduation,Major,Minor,GPA,Total Credits,Academic Standing,Gender,Ethnicity,First Generation College,High School GPA,SAT Score,ACT Score,Current Courses,Academic Plan,Study Abroad Experience,Internship Experience,Research Experience,Extracurricular Activities,Attendance Rate,Assignment Completion Rate,Preferred Learning Style,Career Goals,Tutoring Sessions,Academic Coaching Sessions,Average Study Hours/Week,Work Hours/Week
S548323,Sophia Rodriguez,1999-11-07,2024-08-01,2028-05-15,HIST,,2.46,85,Good Standing,Male,Native American,True,3.06,,,65260|13043|51212,64891|75519|17292|80475|33652|82386|41090|13039|63396|90434,False,False,False,Activity:Member|Activity:Member,0.8341785355410825,0.9285145448540364,Auditory,"1. To become a software engineer at a top technology company
2. To pursue a career in marketing and eventually become a brand manager
3. To work in public health and contribute to improving healthcare access for underserved communities",8,4,21.914441233047334,7.836155882407471
S170893,Ava Thompson,2005-07-08,2022-08-01,2026-05-15,PHYS,HIST,2.19,110,Good Standing,Non-binary,Asian,False,2.51,1427,,20582|48939|97198,64748|40934|60141|39526|65206|64891|32574,False,True,True,Name: Global Perspectives Club:Role: Event Coordinator|Activity:Member|Name: Global Awareness Club:Role: Event Coordinator,0.8458116654771877,0.7145290909994717,Visual,"1. To become a successful software engineer at a top tech company
2. To pursue a career in healthcare as a nurse practitioner 
3. To establish a business in the fashion industry as a designer",8,4,24.785869524467234,
S587151,Amanda Rodriguez,2003-01-23,2024-08-01,2028-05-15,BIO,,3.99,73,Good Standing,Female,Caucasian,False,2.54,1552,,17554|51610|45446,83792|63396|17018|41665|37885|78858|91364|94308|85218|37920,True,False,True,,0.8114466796683123,0.8060134097451699,Kinesthetic,"1. To become a successful entrepreneur and start their own business.
2. To pursue a career in medicine and become a doctor.
3. To work in the field of environmental conservation and make a positive impact on the planet.",3,3,7.384360180891848,
S239497,Alexandra Thompson,2005-02-01,2020-08-01,2024-05-15,HIST,,3.03,99,Good Standing,Other,Hispanic,False,3.69,1403,26,44708|90434|65904|85218|58662,80475|24288|85442|58662|67153|70424|23846|49740,False,False,True,"""Global Awareness Club:"" President",0.895688977811262,0.9564857029566557,Reading/Writing,"1. To become a marketing manager at a multinational corporation
2. To pursue a career as a software engineer at a tech startup
3. To work in environmental policy research and advocacy",1,0,6.764423699305587,18.710307586025188
S529779,Emily Johnson,2003-01-10,2023-08-01,2027-05-15,BIO,,2.12,14,Academic Warning,Male,Hispanic,True,3.98,1172,,34767|13855|51610,33652|24288|34767|20345|85442|40934|97198,True,False,True,,0.8789994810275612,0.9069232355200098,Kinesthetic,"1. Become a successful entrepreneur and start a business in the tech industry.
2. Pursue a career in environmental science and work towards creating sustainable solutions for a better future.
3. Become a marketing specialist in a multinational corporation and lead innovative campaigns to drive business growth.",1,1,7.98685948160605,
S631127,Emily Johnson,2002-03-06,2022-08-01,2026-05-15,BIO,,3.25,15,Academic Probation,Female,African American,False,2.95,,,32970|55791|64748|49740,47591|78068|13855|64891|44708|16098|65260,False,True,True,Activity:Member|Activity:Member,0.8048748714448314,0.6242695622011141,Reading/Writing,"1. To become a successful entrepreneur and start their own business.
2. To pursue a career in healthcare and become a doctor or nurse.
3. To work in the field of environmental conservation and contribute to sustainability efforts.",10,3,16.087472018949384,18.525877782533964
S600282,Ava Thompson,2004-09-21,2022-08-01,2026-05-15,ENG,,3.13,76,Academic Probation,Non-binary,African American,False,3.77,1374,,44495|78858|51212|13039,63396|65206|78858|65904|85218|57707,False,False,False,Activity:Member|Activity:Member,0.8246935613644939,0.6342125085983289,Auditory,"1. To become a successful entrepreneur and start their own business.
2. To pursue a career in medicine and become a doctor.
3. To work in the field of environmental conservation and make a positive impact on the planet.",9,0,20.074887638047546,2.662812296960002
S243995,Olivia Bennett Smith,2005-09-23,2022-08-01,2026-05-15,BIO,PHYS,3.6,69,Academic Probation,Female,African American,False,3.19,1527,22,82386|26840|92738,18937|60530|49740|59713|41090,True,True,False,Activity:Member,0.8466281787600274,0.7481688040619765,Auditory,"1. To become a software engineer at a leading tech company
2. To work as a marketing manager for a global corporation
3. To pursue a career in environmental sustainability research and advocacy",1,4,23.38917841054835,
S801642,Emma Thompson,2005-06-13,2024-08-01,2028-05-15,ECON,,2.86,8,Academic Warning,Male,Hispanic,True,3.94,,36,63396|39872|33652|99488,78068|88542|58662|91364|39872|40934|18937|51861|82386|26840,False,False,False,Activity Name: Creative Minds Club:Student Role: Event Coordinator|Name: Creative Minds Club:Role: Event Coordinator,0.8380214161091578,0.6196147364690401,Auditory,"1. To become a software engineer at a leading tech company
2. To work in public relations for a global organization
3. To pursue a career in environmental science research",6,5,6.912242720931273,
S972544,Emily Rodriguez,2002-03-26,2021-08-01,2025-05-15,PHYS,,3.3,27,Academic Probation,Other,Hispanic,False,2.9,1268,,33652|16098|82095|85476,75519|15545|17018|32970|97198|67153,False,True,False,Activity:Member|Activity:Member,0.711828210833161,0.6137175477525475,Kinesthetic,"1. Secure a position at a top financial firm as a financial analyst.
2. Become a successful entrepreneur and start a tech company.
3. Pursue a career in public service and work for a non-profit organization.",3,3,24.101343956545428,6.465360919120586
